,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,category
77,One Too Many,Keith Urban Duet With P!nk,0.697,0.535,4.0,-6.504,1.0,0.068,0.247,0.0,0.569,0.594,82.959,5NUXE8W12lWcUXgJRCjeEw,spotify:track:5NUXE8W12lWcUXgJRCjeEw,203893.0,9.0
78,Please,Lil Baby & Lil Durk,0.677,0.634,7.0,-6.231,1.0,0.335,0.228,0.0,0.131,0.496,90.268,3zWR0zS9p39c0FVkYkHfVF,spotify:track:3zWR0zS9p39c0FVkYkHfVF,206254.0,1.0
79,Up The Side,"Lil Baby, Lil Durk & Young Thug",0.644,0.563,0.0,-9.814,0.0,0.159,0.0518,0.0,0.179,0.339,160.106,2L6lh2RmMs1yz4FQzdbwOn,spotify:track:2L6lh2RmMs1yz4FQzdbwOn,218417.0,15.0
80,Minimum Wage,Blake Shelton,0.546,0.934,4.0,-3.796,1.0,0.0643,0.00187,0.0,0.062,0.775,89.972,0Lavu1rppGgXfiK27cAMyU,spotify:track:0Lavu1rppGgXfiK27cAMyU,228187.0,8.0
81,Miss The Rage,Trippie Redd & Playboi Carti,0.584,0.859,8.0,-5.616,1.0,0.121,0.0144,0.0,0.847,0.369,77.005,2BITQ360Knh6qNAOqR7Dyq,spotify:track:2BITQ360Knh6qNAOqR7Dyq,236883.0,9.0
82,Way Less Sad,AJR,0.701,0.547,2.0,-8.238,1.0,0.0483,0.00843,0.0,0.0987,0.4,140.015,4jbtL4tjkqghUvJknUqU1s,spotify:track:4jbtL4tjkqghUvJknUqU1s,206108.0,11.0
83,Hope Ur OK,Olivia Rodrigo,0.443,0.298,0.0,-12.181,1.0,0.0644,0.388,1e-05,0.103,0.172,77.253,1zejeOnykpCoyVSit6Bwp3,spotify:track:1zejeOnykpCoyVSit6Bwp3,209560.0,16.0
84,Quicksand,Morray,0.901,0.656,4.0,-7.452,0.0,0.277,0.0807,0.0,0.181,0.599,119.956,4iCZ6Cr76For1TuHUQ90r8,spotify:track:4iCZ6Cr76For1TuHUQ90r8,224933.0,1.0
85,Arcade,Duncan Laurence,0.45,0.329,9.0,-12.603,0.0,0.0441,0.818,0.00109,0.135,0.266,71.884,1Xi84slp6FryDSCbzq4UCD,spotify:track:1Xi84slp6FryDSCbzq4UCD,183624.0,0.0
86,Straightenin,Migos,0.847,0.629,9.0,-5.81,1.0,0.102,0.0318,0.0,0.152,0.109,135.976,3X2r2CnHOJeV5YekPTgBnK,spotify:track:3X2r2CnHOJeV5YekPTgBnK,255532.0,13.0
87,Gang Gang,Polo G & Lil Wayne,0.752,0.563,3.0,-8.066,0.0,0.209,0.146,0.0,0.103,0.551,145.05,4VW44pawoOHPUjlN7DX5vk,spotify:track:4VW44pawoOHPUjlN7DX5vk,178776.0,15.0
88,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,0.627,0.678,2.0,-4.691,1.0,0.0294,0.185,0.0,0.374,0.724,100.032,1UYfAU2bwgjaM5rIIPQleC,spotify:track:1UYfAU2bwgjaM5rIIPQleC,160839.0,8.0
89,Follow You,Imagine Dragons,0.542,0.732,9.0,-5.956,1.0,0.0521,0.00209,7.92e-05,0.496,0.489,124.912,7FdUvDkaE24o3FPIWTvzv2,spotify:track:7FdUvDkaE24o3FPIWTvzv2,175644.0,9.0
90,Chasing After You,Ryan Hurd With Maren Morris,0.596,0.679,4.0,-6.395,1.0,0.0394,0.723,0.0,0.116,0.479,131.912,1ZIKpMTRPqhwAoVXWY3tXI,spotify:track:1ZIKpMTRPqhwAoVXWY3tXI,207974.0,4.0
91,Tell Em,Cochise & $NOT,0.672,0.717,5.0,-7.476,1.0,0.226,0.103,0.0,0.398,0.473,157.905,7nc7mlSdWYeFom84zZ8Wr8,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,180380.0,5.0
92,4 Da Gang,42 Dugg & Roddy Ricch,0.871,0.545,7.0,-10.489,1.0,0.189,0.0143,0.0,0.148,0.722,100.482,4KIkADzoVm3A10E9qyjsQ5,spotify:track:4KIkADzoVm3A10E9qyjsQ5,155720.0,1.0
93,Tombstone,Rod Wave,0.55,0.637,8.0,-5.212,1.0,0.163,0.597,0.0,0.129,0.535,84.448,5pRTz4O2qOkr5nawemy6Wb,spotify:track:5pRTz4O2qOkr5nawemy6Wb,160078.0,13.0
94,What's Next,Drake,0.777,0.58,0.0,-6.928,0.0,0.0525,0.0125,0.0,0.161,0.0636,129.918,3mDFLytDotXo2p0rvfGbkA,spotify:track:3mDFLytDotXo2p0rvfGbkA,178154.0,15.0
95,Things A Man Oughta Know,Lainey Wilson,0.659,0.683,3.0,-5.623,1.0,0.0312,0.513,4.93e-06,0.133,0.397,139.931,5QS8PNEWbqTEZyQ6e9ZbJf,spotify:track:5QS8PNEWbqTEZyQ6e9ZbJf,203373.0,11.0
96,Country Again,Thomas Rhett,0.467,0.481,2.0,-6.947,1.0,0.0255,0.227,0.000189,0.11,0.248,147.886,3CiF9D8iuVhZWDvvjf8HpG,spotify:track:3CiF9D8iuVhZWDvvjf8HpG,221240.0,11.0
97,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,0.612,0.884,5.0,-4.4,1.0,0.0459,0.00516,0.0,0.0997,0.626,119.991,0QULNNd9z5s35entfiiXoa,spotify:track:0QULNNd9z5s35entfiiXoa,245626.0,14.0
98,If You Want To,Lil Baby & Lil Durk,0.795,0.599,6.0,-7.819,1.0,0.123,0.0414,0.0,0.193,0.351,97.033,1EXRmdtTA2IEnYGiuw9plD,spotify:track:1EXRmdtTA2IEnYGiuw9plD,195454.0,13.0
99,Seeing Green,"Nicki Minaj, Drake & Lil Wayne",0.573,0.867,5.0,-2.876,0.0,0.168,0.0853,0.0,0.38,0.231,74.861,1TZv3bujNaYz646eezRE91,spotify:track:1TZv3bujNaYz646eezRE91,339506.0,2.0
